Model,RMSE,MAE,R2,Train_Time_s,Inference_Time_s
RandomForest,0.8283950746970423,0.63879636719258,0.6499637558382583,0.6040096282958984,0.0350797176361084
ExtraTrees,0.8882776725438453,0.6844535855593017,0.5975281675882174,0.15536093711853027,0.04437851905822754
XGBoost,0.563867416883897,0.4259902834892273,0.8378219604492188,0.2758486270904541,0.0018880367279052734
LightGBM,0.5855122951481643,0.44693242698855246,0.8251321229627586,0.10910201072692871,0.0037021636962890625
CatBoost,0.6767187281999063,0.5141402370446295,0.76640992257997,0.3045158386230469,0.0024552345275878906
