Model,RMSE,MAE,R2,Train_Time_s,Inference_Time_s
GCN,0.43830575993456694,0.33308038115501404,0.9020076394081116,2.7102134227752686,0.0030541419982910156
GraphSAGE,0.4698764300232012,0.3554830551147461,0.8873826265335083,1.4683523178100586,0.0014319419860839844
GAT,0.5051762449423526,0.3787587285041809,0.869826078414917,3.5531201362609863,0.0035741329193115234
Physics_GNN,0.5004853336898722,0.3769284188747406,0.8722324371337891,2.7305238246917725,0.0010738372802734375
