Model,RMSE,MAE,R2,Train_Time_s,Inference_Time_s
GCN,0.4383057599345669,0.333080381155014,0.9020076394081116,2.710213422775269,0.003054141998291
GraphSAGE,0.4698764300232012,0.3554830551147461,0.8873826265335083,1.4683523178100586,0.0014319419860839
Physics_GNN,0.5004853336898722,0.3769284188747406,0.8722324371337891,2.7305238246917725,0.0010738372802734
GAT,0.5051762449423526,0.3787587285041809,0.869826078414917,3.5531201362609863,0.0035741329193115
XGBoost,0.563867416883897,0.4259902834892273,0.8378219604492188,0.2758486270904541,0.0018880367279052
LightGBM,0.5855122951481643,0.4469324269885524,0.8251321229627586,0.1091020107269287,0.003702163696289
CatBoost,0.6767187281999063,0.5141402370446295,0.76640992257997,0.3045158386230469,0.0024552345275878
RandomForest,0.8283950746970423,0.63879636719258,0.6499637558382583,0.6040096282958984,0.0350797176361084
ExtraTrees,0.8882776725438453,0.6844535855593017,0.5975281675882174,0.1553609371185302,0.0443785190582275
